Afkorting,Betekenis(sen)
Pudoc,Centrum voor Landbouwpublikaties en Landbouwdocumentatie (tot 1994 uitgeverij van de Landbouwuniversiteit Wageningen)
PUK,PIN Unlock Key
pvb,persoonsvolgend budget
PVC,permanent virtual channel; permanent virtual connection; permanent virtual circuit
pvc,polyvinylchloride
PvdA,Partij van de Arbeid
PVDA,Partij van de Arbeid van België
PvdD,Partij voor de Dieren
PVK,Pensioen- en Verzekeringskamer
PVV,Partij voor de Vrijheid (Nederland); Partij voor Vrijheid en Vooruitgang (België)
PW,"Palau, een land dat vrij geassocieerd is met de Verenigde Staten"
PWA,Prins Willem Alexander
PwC,PricewaterhouseCoopers
QCD,Quantum Chromo Dynamics
q.e.,"quod est, wat wil zeggen"
q.e.d.,"quod erat demonstrandum, wat te bewijzen was"
QED,Quantum Electro Dynamics
QI,Queteletindex
q.n.,quem novisti
QoS,Quality of Service
q.p.,quantum placet
QPR,Queens Park Rangers FC
QPS,Quality Positioning Services B.V.
q.q.,"qualitate qua; ambtshalve, uit hoofde van zijn ambt"
QR,Quick Response (QR-code)
q.s.,quantum satis; quantum sufficit
q.t.,quod testor
QUB,Queens University Belfast
q.v.,quod vide
®,Geregistreerd
R,Reproductiegetal of besmettingsgetal; R0 = basaal reproductiegetal; R (ook wel Reff of Rt) = effectief reproductiegetal
RA,Reumatoïde artritis; Registeraccountant; Rijksarchief
r.a.,rechtsaf
RAAS,Renine-Angiotensine-Aldosteron-Systeem
RACV,Rotary Air Control Valve
RAD,Rapid Application Development
RADIUS,Remote Authentication Dial In User Service
RAF,Rote Armee Fraktion; Royal Air Force
RAI,Rijwiel en Automobiel Industrie
RAID,Redundant Array of Independent Disks; Redundant Array of Inexpensive Disks
RAIS,Ram Air Intake System
RAL,Reed Activated Lubrication; ReichsAusschuss für Lieferbedingungen; Revolutionaire Arbeidersliga
RAM,Random Access Memory
RARA,Revolutionaire Anti-Racistische Actie
RARP,Reverse Address Resolution Protocol
RATP,Régie Autonome des Transports Parisiens
RAVE,Rotax Adjustable Variable Exhaust
RAVeL,Réseau Autonome de Voies Lentes
RAVON,Reptielen Amfibieën Vissen Onderzoek Nederland
Rb.,Rechtbank
RB,Register Belastingadviseurs
RBZ,Regionaal Bureau Zelfstandigen
RC,Radio Control; registercontroller; rechter-commissaris; Racing Club (voetbal); Rainbow Crime (pocket-serie)
RCF,Radios Chrétiennes en France
RCH,Racing Club Heemstede
RCMP,Royal Canadian Mounted Police
RCPS,Regionaal Coördinatiecentrum Patiënten Spreiding
r.d.,rechtdoor
R.D.,"reverendus dominus, eerwaarde heer"
RDF,Radio Direction Finder; Refuse Derived Fuel; Resource Description Framework
RDMZ,Rijksdienst voor de Monumentenzorg
RDS,Radio Data Systeem
RDW,(Rijks)Dienst (voor het) Wegverkeer
RDX,Cyclotrimethyleentrinitramine
REACH,"Registration, Evaluation and Authorisation of CHemicals"
red.,redactie; redacteur
ref.,"referenties; referent, verslaggever; (Engels:) referee, scheidsrechter"
REF,Renkontiĝo de Esperantistaj Familioj
REKAM,Stichting Regionale Kabeltelevisie Midden-Holland
REM,Rapid Eye Movement
Remia,(de) Rooij's Electrische Melangeer Inrichting Amersfoort
RENFE,Red Nacional de los Ferrocarriles Españoles
RER,Réseau Express Régional
resp.,"respectievelijk, in volgorde; (Lat.) responde, men antwoorde"
RET,Rationeel-Emotieve Therapie; Resolution enhancement technology; Rotterdamse Electrische Tram
RFID,Radio-frequency identification
RGB,Rood-Groen-Blauw
Riagg,Regionale Instelling voor Ambulante Geestelijke Gezondheidszorg
RID,Regionale Inlichtingendienst; Reactor Instituut Delft; Rijksinstituut voor Drinkwatervoorziening
RI&E,Risico-inventarisatie en -evaluatie
RIKZ,Rijksinstituut voor Kust en Zee
RIN,Rijksinstituut voor Natuurbeheer †; Rijks Identificerend Nummer
RIND,Reversible Ischemic Neurological Deficit
RIOD,Rijksinstituut voor Oorlogsdocumentatie (thans NIOD)
R.I.P.,requiescat in pace
RIS,Republik Indonesia Serikat
RIVM,Rijksinstituut voor Volksgezondheid en Milieu
RIVON,Rijksinstituut voor Veldbiologisch Onderzoek ten behoeve van het Natuurbehoud †
RIZA,Rijksinstituut voor Integraal Zoetwaterbeheer en Afvalwaterbehandeling †
RIZIV,Rijksinstituut voor Ziekte- en Invaliditeitsverzekering
RKD,"Rijksbureau voor Kunsthistorische Documentatie †, thans RKD-Nederlands Instituut voor Kunstgeschiedenis"
RKK,"Rooms-Katholieke Kerk, Rooms-Katholieke Kerkprovincie, Rotterdamse Kunstkring †"
Rkm,Rijnkilometer
RKPN,Rooms Katholieke Partij Nederland †
RKSP,Roomsch-Katholieke Staatspartij †
RKWV,Rooms-Katholiek Werkliedenverbond †
RLD,Rijksluchtvaartdienst
RNA,Ribonucleïnezuur (Engels: ribonucleic acid)
RNI,Registratie Niet-Ingezetenen
RNP,Rijksdienst voor het Nationale Plan †
ROAZ,Regionaal Overleg Acute Zorgketen
ROC,regionaal opleidingencentrum
ROG,recht op geschriften (België)
ROM,Read Only Memory
Ro-Ro,Roll-on-roll-off
ROVA,Regionaal Orgaan Verwijdering Afvalstoffen
RPD,Rijks Planologische Dienst †; Rijks Psychologische Dienst †
RPhO,Rotterdams Philharmonisch Orkest
RSA,"RSA (cryptografie), Rivest, Shamic en Adleman (oprichters Ron Rivest, Adi Shamir en Len Adleman); Republic of South Africa"
RSG of r.s.g.,Rijksscholengemeenschap
RSI,Repetitive strain injury
RSO,Radio Symfonie Orkest
RSS,Really Simple Syndication
RSV,Respiratoir syncytieel virus (RS-virus); Rijn-Schelde-Verolme †; Rotterdamse Sportvereniging
RSVP,"RSVP, Répondez s'il vous plaît, Antwoord alstublieft"
RTC,Remedial Teaching Center
RTFM,Read The Fucking Manual
RTM,Rotterdamsche Tramweg Maatschappij; Rotterdam The Hague Airport (IATA-code)
RTOS,Realtimebesturingssysteem (Engels: Real-time operating system); Reynell Taalontwikkelingsschaal
RTZ,Stichting ReddingsTeam Zeedieren
RU,Rijksuniversiteit; Radboud Universiteit (Nijmegen)
RUG,Rijksuniversiteit Groningen; Rijksuniversiteit Gent
RUL,Rijksuniversiteit Leiden (voormalige naam van de Universiteit Leiden)
RVA,Rijksdienst voor Arbeidsvoorziening
RVD,Rijksvoorlichtingsdienst
RvdJ,Raad voor de Journalistiek (Nederland)
RVO,Rijksdienst voor Ondernemend Nederland
RVOB,Rijksvastgoed- en Ontwikkelingsbedrijf
RVU,"Radio Volksuniversiteit, later geheten  RVU educatieve omroep"
rvs,"Roestvast staal, veelom bekend als roestvrij staal"
RVS,Rotterdamse Verzekering Sociëteiten
RVV,"Raad van Verzet; Ruimtelijk voorstellingsvermogen; Rijksdienst voor de keuring van Vee en Vlees, opgegaan in Nederlandse Voedsel- en Warenautoriteit (NVWA)"
RVV 1990,Reglement verkeersregels en verkeerstekens
RWE,Rheinisch-Westfälisches Elektrizitätswerk
RWS,Recht op Waardig Sterven
RWS,Rijkswaterstaat
RWT,Rechtspersoon met wettelijke taak
RWV,Rijksdienst voor het Wegverkeer
RWZI,Rioolwaterzuiveringsinstallatie
s,seconde
$,peso- of dollarteken
SAAB,Svenska Aeroplan Aktie Bolaget
Sabam,Société d’Auteurs Belge – Belgische Auteurs Maatschappij
S.A.B.C.A.,Société Anonyme Belge de Constructions Aéronautiques
Sabena,Société Anonyme Belge d'Exploitation de la Navigation Aerienne
S.B.,Stuurboord
SBB,Staatsbosbeheer
SBO,Studie- en Beroepsoriëntering; Speciaal Basis Onderwijs
SBP,Small Business Project
SBU,studiebelastingsuur
s.c.,Latijn: sub conditione
sc.,"scilicet, namelijk"
SciFi,sciencefiction
s.c.j.,sub conditione Jacobi
SCOR,Supply chain operations reference – model
SCP,Sociaal en Cultureel Planbureau
SD,Standaarddeviatie; Sicherheitsdienst
SDAP,Sociaal-Democratische Arbeiderspartij
SDH,Synchrone Digitale Hiërarchie
SDI,"Single Document Interface, Suction Diesel Injection"
SDP,Sociaal-Democratische Partij
SE,Software Engineering
SEH,Spoedeisende hulp
sec,seconde
Secr.,secretaris
SEI,Sociaal-economische initiatie
SER,Sociaal-Economische Raad
SERV,Sociaal-Economische Raad van Vlaanderen
SGP,Staatkundig Gereformeerde Partij
SGR,Stichting Garantiefonds Reisgelden
SH,Slechthorend
SI,Système international
SILA,Stichting Interkerkelijke Ledenadministratie
SIMAVI,Steun in Medische Aangelegenheden Voor Inheemsen
Simca,Société Industrielle de Mécanique et de Carrosserie Automobile
sin,sinus
SIOD,Sociale Inlichtingen en Opsporingsdienst
SIRE,Stichting Ideële Reclame
SIS,Sociaal Informatiesysteem; Secret Intelligence Service
s.j.,"societas Jesu, Jezuïet"
SKB,Stichting Kritisch Bosbeheer
SKEPP,Studiekring voor de Kritische Evaluatie van Pseudowetenschap en het Paranormale
s.l.,sensu lato
SLA,Service Level Agreement
SMA,Sportmedisch Adviescentrum
SMAK,Stedelijk Museum voor Actuele Kunst in Gent
SMART,opvoedings- of management-principe; Specifiek Meetbaar Acceptabel Realistisch Tijdsgebonden
SMK,Stichting Museumkaart
SMTP,Simple Mail Transfer Protocol
SNMP,Simple Network Management Protocol
SO,speciaal onderwijs; secundair onderwijs
soa,seksueel overdraagbare aandoening
SOA,Service Oriented Architecture
soc.,sociaal
SODA,Service Organisatie Directe Aansprakelijkstelling
SodM,Staatstoezicht op de Mijnen
SOG,studieontwijkend gedrag
SOHK,Stichting Oude Hollandse Kerken
SOM,Seine-Oise-Marne
SON,Snijders-Oomen niet-verbale intelligentietest
SOS,cocaïne; Save Our Souls; Save Our Ship
SOVON,"Sovon Vogelonderzoek Nederland, voorheen Samenwerkende Organisaties Vogelonderzoek Nederland; Stichting Openbaar Voortgezet Onderwijs Noord-Holland-Noord"
SP,Socialistische Partij
sp.,Latijn: species (soort)
SP2,Service Pack 2
sp.a,Socialistische Partij Anders (Vlaanderen)
Spar,Eigenlijk: De Spar (Door eendrachtig samenwerken profiteren allen regelmatig)
SPD,Sociaaldemocratische Partij van Duitsland
SPE,Speciale Politie Eenheid
spec.,Latijn: species (soort)
S.P.Q.R.,Senatus populusque Romanus
SQL,Structured Query Language
Sr.,"(Fr.) sieur, (de) heer; (Lat.) senior, de oudste; Wetboek van Strafrecht (Sr, zonder punt)"
SRL,Stichting Rijssens Leemspoor
SRON,"Stichting Ruimte Onderzoek Nederland (Space Research Organisation Netherlands), thans  SRON Netherlands Institute for Space Research (Nederlands instituut voor ruimte-onderzoek)"
SRV,Samen Rationeel Verkopen
SS,Schutzstaffel; Staatsspoorwegen
ss,stoomschip
s.s.,sensu stricto
SSRE,Societas Studiosorum Reformatorum Eindhoviensis; tegenwoordig is SSRE enkel nog maar een naam en heeft de afkorting haar betekenis verloren.
s.s.t.t.,salvis titulis (behoudens de titels)
s.t.,salvo titulo (behoudens de titel)
St.,Stichting; Sint
STAP,Stichting Nederlands Instituut voor Alcoholbeleid STAP (voorheen Stichting Alcoholpreventie)
Ster,Stichting Ether Reclame
STIBOKA,Stichting voor Bodemkartering †
STP,Shielded Twisted Pair
StuFi,studiefinanciering
StuVo,studentenvoorzieningen
SUV,Sports utility vehicle
SVB,Sociale Verzekeringsbank
SVC,switched virtual channel; switched virtual connection
s.v.p.,"(Fr.) s'il vous plaît, als 't u belieft, alstublieft"
SVR,Stichting Vrije Recreatie
SVT,schoolvorderingentest
SVTD,Sociale Vertaal- en Tolkdienst
SVW,Samenwerkingsverband Waterland
S.V.Z.,Stand van zaken
SW,Stroomweg
SWAB,Stichting Werkgroep Antibioticabeleid
SWIFT,Society for Worldwide Interbank Financial Telecommunication
SWP,School Werk Plan
synd.,"syndicaat, syndicus"
Sysop,system operator
T,tesla
TAB,technisch applicatiebeheer
tab.,tabel; tabulator
TAK,Taal Aktie Komitee
TAN(-code),Transactie Autorisatie Nummer
tan,tangens
t.a.p.,"ter aangehaalde plaatse (ouderwets: op de geciteerde plaats in een bron, bijvoorbeeld boek. Is gelijk aan ibidem, op dezelfde aangehaalde plaats)"
t.a.v.,ter attentie van / ten aanzien van
TAW,Tweede Algemene Waterpassing (België)
TB,technisch beheer; terabyte
tb / tbc,Tuberculose
TBB,Te Beschermen Belang
TBL,Titus Brandsma Lyceum
tbs,terbeschikkingstelling
TBV,"taken, bevoegdheden en verantwoordelijkheden"
t.b.v.,ten behoeve van; ten bate van; ter beschikking van; ten bedrage van
TCI,Team Criminele Inlichtingen
TCMG,Tijdelijke Commissie Mijnbouwschade Groningen
TCP,Transmission Control Protocol
TDF,Tour de France
TDI,Tabbed Document Interface
t.e.a.b.,"tegen elk aannemelijk bod, tegen elk aannemelijk bedrag"
TEK,(regeling) Tegemoetkoming energiekosten energie-intensief mkb
tel.,telefoon
Teleac,"Teleac, Televisie Academie, opgegaan in NTR"
telw.,telwoord
TESO,Koninklijke N.V. Texels Eigen Stoomboot Onderneming
TEU,Twenty feet Equivalent Unit
TEW,toegepaste economische wetenschappen
TFN,Turkse Federatie Nederland
tft,thin-film transistor
t.g.t.,te gebruiken tot; te gelegener tijd
TGV,Train à Grande Vitesse
t.g.v.,ten gevolge van; ter gelegenheid van; ten gunste van
TH,Technische hogeschool
th,te huur
Thavo,Tweetalig hoger algemeen voortgezet onderwijs
t.h.o.d.n.,tevens handelend onder de naam
t.h.t.,ten minste houdbaar tot
t.h.v.,ter hoogte van
TIA,Transient Ischaemic Attack
TIB,Toetsingscommissie Inzet Bevoegdheden
TiB,tebibyte
T.I.R.,Transports Internationaux Routiers
tk.,te koop
t.k.g.,ter kennisgeving
TKN,Theoretische Kustnavigatie (diploma's in de watersport)
t.k.n.,ter kennisneming
TKO,technisch knock-out (bij vechtsporten)
tl,tube luminescent (fluorescentielamp); theoretische leerweg
™,Trademark
t/m,tot en met
TMG,Telegraaf Media Groep
TNA,Technicum Noord-Antwerpen; Total Nonstop Action Wrestling
TNO,Toegepast Natuurwetenschappelijk Onderzoek
TNT,Thomas Nationwide Transport; Trinitrotolueen; Postbedrijf TNT (Nederland)
t.n.v.,ten name van
t/o,tegenover (bijvoorbeeld in het adres van woonboten)
TOA,Technisch onderwijsassistent
TOAH,Tijdelijk onderwijs aan huis
TOG,tegemoetkoming onderhoudskosten thuiswonende gehandicapte kinderen
TOGS,Tegemoetkoming Ondernemers Getroffen Sectoren
TOLEDO,Toetsen en leren doeltreffend ondersteunen (elektronische leeromgeving)
t.o.v.,ten opzichte van; ten overstaan van
TONK,Tijdelijke Ondersteuning Noodzakelijke Kosten
Tozo,Tijdelijke overbruggingsregeling zelfstandig ondernemers
TPG,TNT Post Groep
TPV,Totale Parenterale voeding. De voeding gaat niet door de mond en het maag-darmkanaal het lichaam in maar loopt door een dun slangetje (katheter) direct een bloedvat in.
TRIPs,Agreement on Trade Related Aspects of Intellectual Property Rights
TROS,Televisie en Radio Omroep Stichting
TSEG,Tijdschrift voor Sociale en Economische Geschiedenis
TSHD,Trailing Suction Hopper Dredger (sleephopperzuiger)
TSO,Technisch secundair onderwijs
TT,Tourist Trophy
TTIP,Transatlantic Trade and Investment Partnership
tto,tweetalig onderwijs
t.t.v.,ten tijde van
t.t.v.v.,tussentijdse verkoop voorbehouden
TTW,Toegepaste en Technische Wetenschappen
t.t.z.,'t is te zeggen (Belgisch informeel)
TU,Technische universiteit
TU/e,Technische Universiteit Eindhoven
TUK,Theologische Universiteit Kampen (Broederweg)
TÜV,"TÜV, Technischer Überwachungs Verein"
tv,Televisie
t.v.,te voren
tvb,"taken, verantwoordelijkheden en bevoegdheden"
TVL,Tegemoetkoming Vaste Lasten
Tvwo,Tweetalig Voorbereidend wetenschappelijk onderwijs
t.w.,te weten
t.w.v.,ter waarde van
t.z.,ter zake; ter zee (kapitein t.z.)
t.z.t.,te zijner tijd
t.z.v.,ter zake van
UA,uitgesloten aansprakelijkheid (verzekering); Universiteit Antwerpen
UAVG,Uitvoeringswet Algemene verordening gegevensbescherming
u.a.n.,uit aller naam
UB,Universiteitsbibliotheek
UBO,ultimate beneficial owner (uiteindelijk belanghebbende)
UBR,Unspecified Bit-Rate
UDP,User Datagram Protocol
Ued.,UEdele
ufo,Unidentified Flying Object
UG,Universiteit Groningen
UGent,Universiteit Gent
UHT,1. ultra hoge temperatuur (UHT) (in: UHT-sterilisatie); 2. Uitvoeringsorganisatie Herstel Toeslagen
uitsl.,uitsluitend
ULB,Université Libre de Bruxelles
ULg,Université de Liège
ulo,uitgebreid lager onderwijs
UMA,Upper Memory Area
UMB,Upper Memory Blocks
UMTS,Universal Mobile Telecommunications System
UNCTAD,United Nations Conference on Trade and Development
UNDP,"Engels: United Nations Development Programme, VN-Ontwikkelingsprogramma"
Unesco,"United Nations Educational, Scientific and Cultural Organization"
UNHCR,"Engels: United Nations High Commissioner for Refugees, Hoog Commissariaat voor de Vluchtelingen"
Unicef,"United Nations International Children's Emergency Fund (tot 1953), United Nations Children's Fund"
UNITA,União Nacional para a Independência de Angola
UNIZO,Unie van Zelfstandige Ondernemers
UNO,United Nations Organization
UPS,Uninterruptible Power Supply
URL,Uniform Resource Locator
U.S.A.,United States of America
USB,Universal Serial Bus
USD,United States dollar
U.S.S.R.,Unie van Socialistische Sovjet Republieken
UT,"provincie Utrecht, Universiteit Twente"
UTANT,Utrechtse Taalniveau Test
UTP,Unshielded Twisted Pair
UU,Universiteit Utrecht
uv,ultraviolet
UvA,Universiteit van Amsterdam
u.v.d.,uiterste verkoopdatum
UvT,Universiteit van Tilburg
UVV,Unie van Vrijwilligers (tot 1977: Unie van Vrouwelijke Vrijwilligers)
UWV,Uitvoeringsinstituut Werknemersverzekeringen
UZI,Unieke Zorgverlener Identificatienummer
v.,vrouwelijk; vena
V,volt
V&D,Vroom & Dreesmann
v.a.,vanaf
VAB,Vlaamse automobilistenbond
VAC,"Vrouwenadviescommissie (voor de woningbouw en woonomgeving), sinds 2004 VACpunt Wonen"
VAD,"Veluwse Autodienst, nadien: NV Verenigde Autobus Diensten VAD; Vereniging voor Alcohol- en andere Drugproblemen (Vlaanderen)"
VAE,Verenigde Arabische Emiraten
VAF,Vlaams Audiovisueel Fonds
VAG,"Volkswagenwerk AG (Volkswagenwerk Aktiengesellschaft, 1950), thans VW AG: Volkswagen AG"
VAGA,Vereniging van Academisch gevormde Accountants
VAH,Vereniging Afwijkende Heupontwikkeling
VAL,Vlaamse Atletiekliga
VAM,"Vuil Afvoer Maatschappij (VAM), thans onderdeel van Attero"
VAN,"Vereniging Agrarisch Natuurbeheer; Vereniging van Archivarissen in Nederland, thans KVAN"
VAO,Voortgezette Academische Opleiding; Verslag Algemeen Overleg
Vaph,Vlaams Agentschap voor Personen met een Handicap
VAR,Verklaring arbeidsrelatie
VARA,Vereniging van Arbeiders Radio Amateurs
VAS,Vereenigd Amsterdamsch Schaakgenootschap
vavo,voortgezet algemeen volwassenenonderwijs
VAW,Violence Against Women
VAZ,Vereniging Academische Ziekenhuizen
Vawo,Vakbond voor de wetenschap
VBA,Visual Basic for Applications; Vereniging van Beroepskeuze Adviseurs
VBK,Veen Bosch & Keuning (VBK)
vbo,"voorbereidend beroepsonderwijs, opgegaan in vmbo"
VBO,Verbond van Belgische Ondernemingen
VBOK,Vereniging tot bescherming van het ongeboren kind
VBR,"Vlaams-Brabant, Variable Bit-Rate"
VBSG,Vereniging van Belgische Steden en Gemeenten
VC,virtual channel; virtual connection
"vC, v.C. of v.Chr.",voor Christus
VCP,Vlaamse Christen Partij
vCJD,variant Creutzfeldt-Jakob Disease
VCOS,Vlaams Centrum voor Onderwijsgebonden Sport
VCOV,Vlaamse Confederatie van Ouders en OnderwijsVerenigingen
VCR,Vlieg Club Rotterdam
VDAB,Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding
VDQS,Vins Délimités de Qualité Supérieure (wijnclassificatie)
VEG,Vrije Evangelische Gemeenten
VéGé,Verkoop Gemeenschap
ver.,vereniging
Verdinaso,Verbond van Dietsche Nationaal Solidaristen (Vlaanderen)
Veron,Vereniging voor Experimenteel Radio Onderzoek Nederland
VEV,Vlaams Economisch Verbond
VGB,Verklaring van geen bezwaar
vgl.,vergelijk(ing)
vglo,voortgezet lager onderwijs
VGC,Vlaamse Gemeenschapscommissie
VGST,Vereniging van Gereformeerde Studenten in Twente
v.h.,voorheen
VHDSL,Very High-speed Digital Subscriber Line
VHL,Van Hall Larenstein
vhmo,Voorbereidend Hoger en Middelbaar Onderwijs
VI,Veteraneninstituut
VID,VerkeersInformatieDienst
VIG,Vlaams Instituut voor Gezondheidspromotie
VIK,"Veiligheid, Integriteit en Klachten (een ""Unit"" van de Nederlandse Nationale Politie)"
VIM,Vlaams Instituut voor Mobiliteit
Vinex,Vierde Nota Ruimtelijke Ordening Extra
vip,very important person
VITO,Vlaams Instituut voor Technologisch Onderzoek
Vivo,Vrijwillige Inkoop- en Verkoop Organisatie
VIVO,Video In Video Out
VIZO,Vlaams Instituut voor het Zelfstandig Ondernemen (opleidingsinstituten: Syntra)
VK,Verenigd Koninkrijk; Vertrouwenscentrum kindermishandeling
VL,Verstandelijke leeftijd
Vlafo,Vlaams Fonds voor Sociale Integratie van Personen met een Handicap
Vlamo,Vlaamse Amateurmuziekorganisatie
VlaS,Vlaamse traditionele Sporten vzw.
VLAS,Vereniging van Vlaamse Stomaverpleegkundigen
VLD,Vlaamse Liberalen en Democraten
VLHORA,Vlaamse Hogescholenraad
VLIR,Vlaamse Interuniversitaire Raad
Vlizo,vliering-zoldertrap
v.l.n.r.,van links naar rechts
VLOR,Vlaamse Onderwijsraad
VLOTT,Vlaams Liberaal Onafhankelijk Tolerant Transparant
VLUHR,Vlaamse Universiteiten en Hogescholen Raad (koepel van VLIR en VLHORA)
vmbo,Voorbereidend middelbaar beroepsonderwijs
VMM,Vlaamse Milieumaatschappij
VN,Verenigde Naties
VNG,Vereniging van Nederlandse Gemeenten
vnl.,voornamelijk
VNO-NCW,Verbond van Nederlandse Ondernemingen – Nederlands Christelijk Werkgeversverbond
VNPI,Vereniging Nederlandse Petroleum Industrie
VNR,Vereniging van Nederlandse Reformhuizen
vnw.,voornaamwoord
VOA,Verkeersongevallenanalyse
VOC,Vereenigde Oostindische Compagnie
VOET,Vakoverschrijdende eindtermen
vof,vennootschap onder firma
VOG,Verklaring omtrent het gedrag
Vogido,Voor ons genoegen is dit opgericht
VOK,Vereniging OpenluchtKlassen
Vopak,Van Ommeren Pakhoed (Pakhoed = Pakhuismeesteren en Blauwhoed)
VON / v.o.n.,Vrij op naam
voorz.,voorzitter
VOTS,Voorlopige Onder Toezicht Stelling (jeugdrecht)
VPB,Vennootschapsbelasting
VPN,Virtueel Particulier Netwerk
VPRO,Vrijzinnig Protestantse Radio Omroep
vpt,Volledig pakket thuis
VRI,verkeersregelinstallatie
VROM,"Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieubeheer"
VRT,Vlaamse Radio- en Televisieomroep
VRZA,Vereniging van Radiozendamateurs
VS,Verenigde Staten
vs.,versus
VSCD,Vereniging van Schouwburg- en Concertgebouwdirecties
VSE,Victim Support Europe (zie slachtofferhulp)
VSK,Vlaamse Scholierenkoepel
VSKO,Vlaams Secretariaat van het Katholiek Onderwijs
VSenV,Vereniging van Schrijvers en Vertalers
VSNU,Vereniging van Universiteiten
vso,Vernieuwd secundair onderwijs (Vlaanderen); voortgezet speciaal onderwijs (Nederland)
VSOP,Very Superior Old Pale
VSPN,Vereniging voor Sportpsychologie in Nederland
VTA,Visual Tree Assessment
VTB,Vlaamse toeristenbond (meestal in de combinatie VTB-VAB); Verbreding Techniek Basisonderwijs
VTEC,Variable Valve Timing and Lift Electronic Control
VTH,"Vergunningverlening, toezicht en handhaving"
VTI,Vlaams Theater Instituut; Vrij Technisch Instituut (zie vakschool)
VTS,Vessel Traffic Service; Vlaamse Trainersschool (van het Bloso)
v.t.t.,voltooid tegenwoordige tijd
VU,Vrije Universiteit Amsterdam; Volksunie
VUB,Vrije Universiteit Brussel
VUT,Vervroegde uittreding
v.v.,vice versa (en terug)
VVAO,Vereniging van vrouwen met hogere opleiding VVAO
Vvcg,Vereniging Vlaamse Cultuur- en gemeenschapscentra
VVD,Volkspartij voor Vrijheid en Democratie
VVE,Voor- en vroegschoolse educatie; Vereniging van Eigenaars
VVKBaO,Vlaams Verbond van het Katholiek Basisonderwijs
VVKBuO,Vlaams Verbond van het Katholiek Buitengewoon Onderwijs
VVKHO,Vlaams Verbond van het Katholiek Hoger Onderwijs
VVKSO,Vlaams Verbond van het Katholiek Secundair Onderwijs
VvL,Vereniging van Letterkundigen (tegenwoordig: VSenV)
VVL,Vereniging van Vlaamse Leerkrachten; Vlaamse Vereniging voor Logopedisten
VVN,Veilig Verkeer Nederland
V&VN,Verpleegkundigen & Verzorgenden Nederland
vvo,verhuurbare vloeroppervlakte (makelaarsjargon)
VvOCM,Vereniging van Oefentherapeuten Cesar en Mensendieck
VVSG,Vereniging van Vlaamse steden en gemeenten
v.v.t.,voltooid verleden tijd
VVT,Verbond der Vlaamse Tandartsen
V.V.V.,Vereniging voor Vreemdelingenverkeer
V&W,Ministerie van Verkeer en Waterstaat
VW,Volkswagen
VWA,Nederlandse Voedsel- en Warenautoriteit
v.w.b.,voor wat betreft
vwo,voorbereidend wetenschappelijk onderwijs; Vlaamse Wiskunde Olympiade; volwassenenonderwijs
VWS,"Ministerie van Volksgezondheid, Welzijn en Sport"
Vz.,voorzitter
vzw,vereniging zonder winstoogmerk
W,west
W,watt
W.A. of WA,Wettelijke aansprakelijkheid
Wabo,Wet algemene bepalingen omgevingsrecht
WABP,Whatsapp Buurtpreventie
WACC,Weighted average cost of capital
WAD,Waterschapsarchieven-database
WADA,World Anti-Doping Agency; Wereldantidopingagentschap
WAIS,Wechsler Adult Intelligence Scale
Wajong,Wet werk en arbeidsondersteuning jonggehandicapten
Walvis,Wet administratieve lastenverlichting en vereenvoudiging in socialeverzekeringswetten
WAN,Wide Area Network
WAO,Wet op de arbeidsongeschiktheidsverzekering
WAZ,Wet arbeidsongeschiktheidsverzekering zelfstandigen
Wb,weber
Wbbbg,Wet buitengewone bevoegdheden burgerlijk gezag
WBDBO,Weerstand tegen branddoorslag en brandoverslag
WBF,Waarborgfonds Motorverkeer
WBR,Waals-Brabant
wc,watercloset
WEB,Wet educatie en beroepsonderwijs
Wed.,Weduwe
WENK,(Hogeschool voor) Wetenschap en Kunst
WEU,West-Europese Unie
WEW,Werkgroep Ecologisch Waterbeheer
Wft,Wet op het financieel toezicht
w.g.,was getekend
WGS,Wet Gratis Schoolboeken
WHO,Wereldgezondheidsorganisatie
WHW,Wet op het hoger onderwijs en wetenschappelijk onderzoek
w.i.,werktuigkundig ingenieur
WIA,Wet Werk en Inkomen naar Arbeidsvermogen
Wibra,Wierdsma & Braam
WIGW,"Weduwen, Invaliden, Gepensioneerden en Wezen"
WILO,Waarschuwingsinstallatie Landelijke Overweg
WION,Wet informatie-uitwisseling ondergrondse netten
WIPO,Wereldorganisatie voor de Intellectuele Eigendom
WIS,Werkzoekende Informatie Systeem van de VDAB
WISC,Wechsler Intelligence Scale for Children
Wiv,Wet op de inlichtingen- en veiligheidsdiensten 2002 / Wet op de inlichtingen- en veiligheidsdiensten 2017
wk,week
WK,Wereldkampioen ; Wereldkampioenschap; Wereldkampioenschappen
WKA,Wet Ketenaansprakelijkheid
W.L.,Westerlengte
WLAN,Wireless Local Area Network
Wlz,Wet langdurige zorg
Wmo,Wet maatschappelijke ondersteuning
WMO,"Wet medisch-wetenschappelijk onderzoek met mensen, Wereld Meteorologische Organisatie"
wnd.,waarnemend
wnw,westnoordwest
wo.,waaronder
w.o.,wetenschappelijk onderwijs; wetenschappelijk onderzoek
WO II,Tweede Wereldoorlog
WODC,Wetenschappelijk Onderzoek- en Documentatiecentrum
Wp,Wattpiek
Wpg,Wet politiegegevens
